Station,Start,End,PCA_Median,PCA_MAD,PCA_Mean,PCA_Stdev,PCA_DataNum,MinT_Median,MinT_MAD,MinT_Mean,MinT_Stdev,MinT_DataNum
N001,2018-06-12,2019-11-23,358.65,3.26,358.27,5.08,65,358.54,3.43,358.55,4.88,72
N001,2020-09-17,2024-12-31,357.53,2.43,357.73,3.64,22,356.62,2.46,357.59,3.22,21
N002,2018-06-12,2019-11-23,5.41,3.2,4.88,5.14,47,5,3.72,5.33,5.93,47
N002,2020-08-18,2024-12-31,344.06,4.38,343.7,5.37,18,344.57,4.66,344.57,6,18
N003,2018-05-17,2019-11-24,22.76,3.06,22.17,4.35,67,21.88,2.77,22.11,4.19,69
N003,2020-08-18,2024-12-31,1.65,1.88,2.37,3.03,21,1.84,2.13,2.54,3.5,21
N004,2018-06-02,2019-11-24,359.03,2.43,359.18,4.2,61,358.91,2.2,359.22,3.5,65
N004,2020-08-18,2024-12-31,359.76,2.33,0.14,3.14,16,358.48,2.83,358.79,4.62,15
N005,2018-08-05,2024-12-31,357.86,4.58,357.44,7.44,30,357.81,4.63,359.48,5.6,30
N006,2018-06-12,2019-11-24,338,2.78,338.83,4.36,67,337.72,2.69,338.12,4.15,65
N006,2020-08-18,2024-12-31,358.61,1.63,358.76,3.29,24,358.2,2.79,358.35,4.11,26
N007,2018-06-12,2019-11-24,21.94,4.26,22.5,6.33,32,21.35,4.65,20.94,7.48,35
N007,2020-09-12,2024-12-31,357.73,3.27,356.38,5.67,14,357.44,2.32,358.01,4.53,12
N008,2019-02-21,2019-12-10,19.54,4.19,19.7,6.12,39,18.85,4.65,19.16,5.89,45
N008,2020-02-13,2024-12-31,8.44,3.3,9.03,5.35,40,7.63,4.25,8.43,6.43,45
N009,2019-02-21,2019-09-29,352.87,2.03,352.36,3,45,352.71,1.54,352.7,2.78,43
N009,2019-11-08,2024-12-31,19.34,1.94,18.81,3.6,73,19.22,1.92,18.91,3.13,76
N010,2019-02-21,2019-11-08,343.07,2.53,342.69,3.65,59,343.05,2.17,343.43,3.33,59
N010,2019-11-14,2024-12-31,353.9,2.37,353.64,3.73,80,353.33,2.31,353.14,3.88,83
N011,2019-02-21,2019-11-08,357.31,2.7,357.68,4.75,57,358.16,2.56,357.39,4.24,60
N011,2019-11-14,2024-12-31,10.91,2.78,10.02,3.78,83,10.46,3.09,10.19,3.8,85
N012,2019-03-04,2019-10-31,9.51,2.76,10.35,4.07,56,10.35,2.93,10.48,4.42,57
N012,2019-11-14,2020-03-25,340.52,3.31,340.61,3.46,13,339.62,3.83,339.98,4.04,16
N012,2020-04-10,2024-12-31,28.78,3.13,28.59,4.57,68,29.27,2.75,29.11,4.35,68
N013,2019-03-06,2019-12-16,1.84,2.26,1.78,3.67,55,1.63,1.91,2,3.28,57
N013,2020-01-02,2024-12-31,354.55,3.39,354.31,4.3,64,354.78,3.06,354.22,4.42,71
N014,2019-02-21,2019-10-31,342.19,1.8,341.97,2.54,32,343,2.02,342.41,2.74,37
N014,2019-11-08,2024-12-31,358.81,4.17,357.89,5.47,53,358.35,3.78,357.84,5.43,53
N015,2019-02-21,2019-12-10,0.7,2.44,0.17,3.48,50,0.37,2.22,0.09,3.54,55
N015,2020-01-02,2024-12-31,7.31,2.05,7,4.18,64,7.08,2.3,6.82,4,62
N016,2019-02-21,2019-11-14,357.8,3.03,357.23,5.13,53,358.39,2.62,358.03,4.51,56
N016,2019-11-23,2024-12-31,4.05,2.24,3.6,3.69,81,4.09,2.24,3.92,3.85,75
N017,2019-02-21,2024-12-31,354.49,2.76,354.26,3.65,146,354.39,2.9,354.08,3.98,152
N018,2019-03-06,2019-11-04,6.03,2.37,6.04,3.59,39,7,2.66,6.44,3.72,40
N018,2019-11-08,2024-12-31,357.85,3.32,358.32,5.38,88,357.8,3.06,357.46,4.91,88
N019,2019-02-21,2019-12-15,1.7,3.17,1.13,4.51,73,1.92,2.34,1.62,4.08,67
N019,2020-01-02,2024-12-31,7.01,2.2,7.13,3.28,77,6.94,2.47,7.17,3.81,75
N020,2019-02-02,2019-03-06,335.14,1.67,335.78,3.34,6,337.05,2.14,336.45,2.77,6
N020,2019-03-08,2019-12-15,357.23,2.28,356.7,3.87,64,358.07,2.07,357.15,3.64,63
N020,2020-01-02,2024-12-31,341.15,2.68,341.15,3.73,81,341.35,2.51,341.42,3.79,82
N021,2019-03-02,2019-11-24,3.15,2.37,3.21,3.55,44,3.57,1.9,3.47,3.49,47
N021,2019-12-10,2024-12-31,354.81,2.52,354.17,3.66,55,354.7,2.45,354.37,3.79,61
N022,2019-02-21,2019-12-15,22.91,2.03,22.68,3.69,70,22.73,2.47,22.43,3.97,76
N022,2020-01-02,2024-12-31,36.9,2.69,36.83,3.46,70,36.51,2.32,36.02,3.54,75
N023,2019-03-06,2019-10-31,7.92,3.48,7.88,4.4,51,8.08,2.81,8.18,3.89,54
N023,2019-11-08,2024-12-31,345.72,2.54,345.39,3.65,83,345.4,2.41,345.35,3.4,81
N024,2019-03-08,2019-11-14,1.79,2.36,1.77,3.96,51,1.32,2.26,1.54,3.83,53
N024,2019-11-23,2024-12-31,357.87,2.1,357.89,3.12,76,357.6,2.33,357.97,3.81,75
N025,2019-02-21,2019-10-31,357.51,3.52,356.96,5.73,33,357.27,3.03,357.53,5.73,35
N025,2019-11-08,2024-12-31,326.04,3.2,326.42,4.05,52,326.5,3.16,326.56,4.14,52
N026,2019-02-21,2020-01-19,2.17,3.16,1.84,4.36,69,2.41,2.56,2.3,3.97,67
N026,2020-04-10,2024-12-31,7.14,2.39,7.44,3.65,63,7.67,2.42,7.5,3.41,69
N027,2019-02-21,2019-12-15,355.52,2.82,355.71,4.4,83,356.57,2.53,356.31,3.84,76
N027,2020-01-02,2024-12-31,1.2,2.41,1.1,3.8,88,1.34,2.64,1.05,4.43,88
N028,2019-02-02,2024-12-31,4.77,3.08,5.09,4.5,156,5.69,3.14,5.42,4.56,157
N029,2019-03-08,2019-10-31,357.11,2.99,357.8,4.37,35,358.97,2.9,357.92,4.29,41
N029,2019-11-14,2024-12-31,14.53,2.48,14.9,3.64,62,14.93,2.58,14.76,4.36,69
N030,2019-02-21,2020-01-26,352.91,4.6,351.27,8,75,352.85,4.39,351.62,7.7,69
N030,2020-02-20,2024-12-31,3.76,13.75,2.62,14.62,68,4.17,12.93,3.28,13.98,67
N031,2019-02-21,2019-10-29,2.26,1.66,1.82,2.49,51,2.46,1.85,2,3.38,56
N031,2019-11-08,2024-12-31,345.47,1.98,345.83,3.26,75,345.84,1.84,345.39,2.9,72
N032,2019-03-20,2019-10-31,358.3,3,357.86,4.33,40,358.39,3.05,358.19,4.29,40
N032,2019-11-14,2024-12-31,9.46,3.53,8.92,4.87,56,9.2,3.13,8.93,4.81,58
N033,2019-03-24,2019-09-27,351.7,4.71,352.05,6.46,33,351.67,4.73,350.92,6.12,33
N033,2020-01-02,2024-12-31,2.52,3.19,2.31,4.82,71,2.12,3.51,2.08,4.47,72
N034,2019-03-06,2019-10-29,21.46,3.98,22.01,6.44,43,21.64,3.48,21.32,5.07,44
N034,2019-11-08,2020-01-07,0.91,5.58,359.15,6.32,9,0.3,6.17,358.69,7.13,9
N034,2020-02-05,2024-12-31,24.85,3.14,24.65,5.37,60,24.66,3.16,24.97,5.36,66
N035,2019-02-21,2020-01-07,341.87,3.53,341.77,4.46,35,343.02,2.83,342.28,4.9,38
N035,2020-01-19,2024-12-31,6.13,2.61,6.06,3.93,54,6.98,2.37,6.66,3.7,58
N036,2019-06-01,2020-06-07,353.13,3.75,353.3,4.86,14,353.68,3.44,353.6,5.4,14
N036,2020-06-13,2024-12-31,8.41,2.57,8.84,4.09,52,8.82,2.66,9.16,4.21,50
N037,2019-02-21,2019-12-15,352.14,2.38,353.04,3.58,55,352.66,2.17,353.2,3.14,55
N037,2020-01-19,2024-12-31,328.59,2.89,328.63,3.89,55,328.72,2.34,328.61,3.67,58
N038,2019-02-21,2024-12-31,357.46,3.11,357.37,4.46,116,357.69,2.6,357.31,3.85,117
N039,2019-03-10,2019-10-21,7.81,2.39,8.31,3.37,47,8.23,2.31,8.49,2.87,48
N039,2019-11-08,2024-12-31,344.87,2.67,344.71,3.71,87,344.68,2.6,344.44,3.86,85
N040,2019-02-02,2019-03-06,336.47,1.95,336.42,2.91,6,336.07,2.21,336.41,3.48,5
N040,2019-03-08,2019-12-10,357.46,2.57,357.46,3.64,60,357.41,2.36,357.55,3.36,60
N040,2020-01-07,2024-12-31,8.82,2.18,8.69,3.29,70,8.04,2.34,7.8,4.13,71
N041,2019-03-06,2019-12-15,359.78,3.31,359.43,4.56,38,359.75,3.33,359.19,4.33,36
N041,2020-01-02,2024-12-31,5.15,3.68,4.96,4.86,67,4.74,3.42,5.14,4.24,69
N042,2019-03-08,2024-12-31,353.33,2.28,353.43,3.56,124,353.86,2.33,353.69,3.76,122
N043,2019-03-08,2019-12-10,3.23,2.01,3.14,2.66,44,3.85,2.79,3.23,3.94,47
N043,2020-01-02,2024-12-31,358.04,2.14,358.07,3.45,74,357.74,2.15,357.5,3.75,79
N044,2019-06-01,2019-11-08,9.76,1.84,9.6,3.55,26,10.42,2.04,10.24,3.14,30
N044,2020-12-10,2024-12-31,4.33,1.64,3.36,2.54,11,4.46,1.94,3.63,2.81,10
N045,2019-03-08,2019-12-10,4.51,2.26,4.14,3.23,54,4.41,2.09,3.87,3.23,52
N045,2020-01-02,2024-12-31,359.73,2.41,359.36,3.43,68,359.23,2.52,358.54,3.76,69
N046,2019-03-08,2019-12-15,358.64,2.7,358.34,3.44,57,359.31,2.27,359.04,3.25,63
N046,2020-01-23,2024-12-31,350.63,2.7,350.56,3.96,65,350.51,2.56,350.31,3.58,66
N047,2019-03-08,2019-12-15,355.89,2.33,355.65,3.38,64,356.04,2.53,355.79,4.04,64
N047,2020-01-02,2024-12-31,2.41,2.69,1.81,3.35,72,2.62,2.73,2.38,3.55,75
N048,2019-03-24,2020-01-02,17.17,5.17,19.05,8.8,32,17.67,4.42,17.62,7.54,34
N048,2020-02-13,2024-12-31,0.61,4.39,0.62,6.3,44,0.59,3.85,0.24,6.36,44
N049,2019-03-20,2019-11-04,353.03,3.14,353.39,5.23,43,352.6,3.43,352.44,4.99,43
N049,2019-11-08,2024-12-31,17.85,3.76,17.28,5.65,77,17.68,4.13,16.95,5.72,75
N050,2019-03-10,2019-11-04,350.88,2.48,351.12,4.11,50,351.03,2.55,351.62,4.19,51
N050,2019-11-08,2024-12-31,8.17,2.46,8.49,4.04,82,8.02,2.65,8.14,4.06,82
N051,2019-03-10,2019-10-21,353.12,2.3,353.69,2.86,44,352.93,2.21,353.08,3.58,44
N051,2019-11-04,2024-12-31,14.32,2.14,13.92,3.93,72,14.49,2.44,14.77,3.91,74
N052,2019-03-02,2020-01-26,332.44,5.66,331.26,7.25,52,331.88,4.72,330.57,7.28,55
N052,2020-02-13,2024-12-31,23.2,2.95,23.17,4.32,53,23.01,3.88,23.38,5.42,62
N053,2019-03-30,2019-10-31,356.07,2.18,355.91,3.64,58,356.01,1.82,355.99,3.34,58
N053,2019-11-08,2024-12-31,346.59,2.3,346.7,3.77,83,346.04,2.45,346.06,3.76,82
N054,2019-03-20,2019-10-31,359.1,2.4,358.95,4.42,50,359.45,2.42,359.37,3.98,53
N054,2019-11-04,2024-12-31,348.48,2.23,348.81,3.34,85,348,2.31,348.54,3.55,87
N055,2019-03-24,2019-10-31,351.24,2.41,350.9,3.54,54,351.26,2.18,350.71,3.5,54
N055,2019-11-08,2024-12-31,5.68,2.51,5.56,4.22,90,5.95,2.38,5.84,3.52,88
N056,2019-03-28,2019-10-29,2.63,2.03,2.79,3.52,41,3.67,2.28,3.12,3.58,45
N056,2019-11-04,2024-12-31,352.86,2.22,352.78,3.67,67,352.98,2.22,352.96,3.47,69
N057,2019-03-20,2024-12-31,351.82,3.11,352.11,4.78,147,351.7,3.04,351.62,4.55,142
N058,2019-03-10,2019-11-26,356.65,2.63,356.94,4.53,53,357.4,2.09,357.66,3.61,52
N058,2019-12-10,2024-12-31,1.63,2.35,1.58,4.05,67,1.78,2.04,2.04,3.96,63
N059,2019-03-24,2019-12-15,4.74,3.61,4.45,6.65,57,5.34,4.27,4.66,5.54,52
N059,2020-01-02,2024-12-31,10.56,3.69,9.79,5.04,72,10.07,2.96,9.5,4.54,67
N060,2019-03-02,2024-12-31,14.07,2.97,13.89,4.6,117,14.24,3.31,13.93,5.28,131
N061,2019-03-02,2020-01-26,7.84,2.98,7.43,4.89,80,7.91,3.04,7.35,5.02,76
N061,2020-02-05,2024-12-31,350.41,2.75,350.32,4.42,73,350.65,3.05,350.07,5.1,75
N062,2019-03-02,2019-11-04,7.81,2.99,7.08,4.27,40,8.72,2.99,7.96,4.12,38
N062,2019-11-08,2024-12-31,357.48,2.8,357.18,3.58,51,356.4,2.57,356.38,4.36,57
N063,2019-03-02,2019-12-15,344.06,2.71,343.71,3.38,66,344.47,2.02,344.33,3.32,65
N063,2020-01-02,2024-12-31,0.5,2.32,0.3,3.36,75,0.21,2.19,359.99,3.3,77
N064,2019-03-28,2019-07-25,346.94,3.45,346.86,3.93,13,348.34,2.12,348.24,3.52,12
N064,2019-07-26,2019-12-15,348.08,2.28,348.72,3.59,26,349.14,2.24,348.9,3.56,25
N064,2020-01-02,2024-12-31,12.29,2.98,11.98,4.28,76,12.1,2.99,11.8,4.29,77
N065,2019-03-02,2019-11-04,341.97,2.04,342.09,3.35,33,341.96,3.65,341.82,5.8,39
N065,2019-11-08,2020-01-19,5.81,3.47,4.22,5.59,9,2.37,4.84,1.74,5.56,8
N065,2020-03-14,2024-12-31,339.2,3.33,338.72,4.43,54,339.04,3.49,338.89,4.73,52
N066,2019-03-24,2020-01-07,349.84,3.26,349.73,4.59,53,349.88,2.46,349.55,4.37,54
N066,2020-02-13,2024-12-31,5.49,2.68,5.97,4.14,65,5.55,2.52,5.56,4.16,66
N067,2019-03-28,2024-12-31,0.43,2.45,359.98,3.94,83,0.94,2.58,0.65,4.28,82
N068,2019-03-24,2019-11-26,11.49,3.34,10.92,4.82,54,11.81,2.94,11.61,4.61,55
N068,2019-12-10,2024-12-31,5.06,3.29,4.36,4.31,73,4.4,2.91,3.67,4.08,76
N069,2019-03-06,2019-12-15,346.69,2.23,346.7,3.01,55,347.07,2.11,346.97,3.16,59
N069,2020-01-02,2024-12-31,358.53,1.94,358.85,2.7,66,358.61,1.82,358.61,2.93,67
N070,2019-03-24,2024-12-31,359.53,2.93,359.82,4.42,142,0.03,3.06,0.07,4.73,139
N071,2019-03-02,2019-11-04,353.22,2.37,352.78,3.52,40,352.38,2.09,352.36,3.37,34
N071,2019-11-08,2024-12-31,337.33,2.84,336.67,4.16,78,337.4,2.09,336.5,3.68,76
N072,2019-03-02,2020-01-26,21.63,2.23,21.38,4.38,66,22.01,2.49,21.53,4.07,72
N072,2020-02-05,2024-12-31,8.44,1.92,8.05,3.26,65,8.07,2.35,7.86,3.48,67
N073,2019-03-24,2019-12-10,3.04,2.32,2.71,3.16,57,3.29,2.67,3.48,3.57,59
N073,2020-01-02,2024-12-31,355.6,2.83,355.24,4.34,74,355.25,2.88,354.61,4.76,73
N074,2019-03-28,2019-12-10,6.64,2.09,7.99,3.64,41,7.72,2.17,8.13,3.79,40
N074,2020-01-07,2024-12-31,14.86,2.75,14.41,5.13,58,15,2.66,14.34,4.96,54
N075,2019-03-20,2019-12-15,352.94,2.58,353.2,3.28,69,353.52,2,353.18,3.12,62
N075,2020-01-02,2024-12-31,359.94,2.03,359.9,3.46,78,0.21,2.33,359.47,4,77
N076,2019-03-02,2019-12-15,3.54,2.58,2.55,4.83,60,2.86,3.43,2.7,5.01,60
N076,2020-02-13,2024-12-31,23.42,3.5,23.31,4.33,63,22.91,3.62,22.82,4.99,71
N077,2019-03-06,2020-02-05,30.52,3.57,29.87,6.28,65,29.99,2.51,29.08,5.07,70
N077,2020-02-13,2024-12-31,16.13,4.83,16.34,5.37,66,17.12,4.57,16.54,5.38,71
N078,2019-03-06,2019-10-16,355.32,3.72,356.84,5.52,36,357.24,3.49,357.37,5.89,36
N078,2019-11-08,2024-12-31,350.56,4,350.99,6.33,54,349.41,4.02,349.57,6.21,55
N079,2019-03-02,2020-01-19,1.06,6.44,0.41,8.8,40,358.41,5.2,358.91,7.16,35
N079,2020-02-13,2024-12-31,348.24,4.02,348.21,5.6,48,348.15,3.43,347.53,5.17,48
N080,2019-03-02,2019-10-31,3.44,2.13,3.57,3.41,60,3.76,2.48,3.39,3.57,61
N080,2019-11-08,2024-12-31,357.91,3.33,357.59,5.08,87,357.32,3.51,356.95,4.62,88
N081,2019-03-02,2024-12-31,3.53,3.61,2.81,6.35,128,2.77,3.39,1.79,6.2,132
N082,2019-03-28,2019-11-04,351.33,2.45,352.17,4.12,39,351.74,2.61,351.74,4.14,35
N082,2020-01-19,2024-12-31,10.27,2.47,11.13,3.91,49,10.97,2.47,10.8,4.71,59
N083,2019-03-02,2019-10-31,322.55,2.34,322.18,3.36,56,322.61,2.58,322.11,3.83,58
N083,2019-11-08,2024-12-31,357.51,2.93,357.48,4.04,80,357.11,2.85,356.76,4.28,83
N084,2019-03-02,2019-10-29,347.18,2.78,347.06,3.72,53,347.31,2.56,347.03,3.27,53
N084,2019-11-08,2024-12-31,293.01,2.99,293.04,4.65,77,292.66,2.29,292.55,3.84,73
N085,2019-06-01,2024-12-31,0.96,1.96,1.41,3.07,63,1.04,2.68,0.63,3.8,67
N086,2019-03-20,2020-01-26,9.59,16.79,10.08,22.04,58,10.66,17.22,10.89,21.52,61
