net,sta,dist_km,accel_only,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
NS,N143,16.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N133,16.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N109,16.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N175,16.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N176,16.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N041,16.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N043,16.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N145,17.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N021,17.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N019,17.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N049,17.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N036,17.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N055,17.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N157,18.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N183,18.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N180,18.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N020,18.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N026,18.5,False,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NS,N117,18.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N134,18.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N024,18.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N053,18.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N027,19.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N079,19.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N110,19.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N135,19.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N174,19.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N118,19.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N095,19.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N141,20.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N050,20.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N189,20.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N185,20.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N054,20.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N178,20.7,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N040,20.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N087,21.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N096,21.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N124,21.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N005,21.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N028,21.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N112,21.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N030,21.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N121,21.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N153,21.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N029,21.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N037,21.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N144,22.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N088,22.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N132,22.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N177,22.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N151,22.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N056,22.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N173,22.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N137,23.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N048,23.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N081,23.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N129,23.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N047,23.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N063,24.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N045,24.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N101,24.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N102,24.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N172,24.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N181,24.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N057,24.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N086,24.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N146,24.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N147,24.5,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N187,24.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N008,24.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N113,24.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N067,25.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N188,25.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N171,25.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N127,25.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N072,25.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N122,25.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N104,26.0,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N154,26.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N186,26.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N046,26.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N125,26.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N051,26.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N077,26.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N156,26.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N076,26.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N091,26.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N103,26.8,False,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NS,N092,26.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N142,26.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N058,27.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N152,28.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N085,28.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N120,28.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N131,28.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N123,28.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N064,28.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N090,28.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N105,28.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N099,28.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N191,29.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N066,29.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N070,29.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N061,29.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N126,29.3,False,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
NS,N190,29.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N108,30.4,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N082,31.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N182,31.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N149,31.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N093,31.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N155,31.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N196,32.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N158,32.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N073,32.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N201,32.6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N160,32.9,False,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NS,N197,32.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N060,33.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N194,33.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N161,33.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N074,33.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N136,33.5,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N089,33.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N192,34.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N168,35.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N094,35.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N075,35.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N164,35.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N195,36.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N167,36.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N199,36.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N097,36.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N200,37.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N165,37.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N159,37.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N193,37.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N098,39.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N163,39.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N169,40.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N162,40.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N202,40.8,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N166,41.0,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N198,43.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N205,44.6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N203,45.9,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N207,48.2,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N204,48.7,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N206,49.0,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N210,51.4,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N208,52.6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N211,52.6,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N209,56.2,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N212,58.5,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N215,59.3,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N214,59.9,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N213,62.3,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N216,63.5,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N217,71.3,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N218,72.4,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N219,77.7,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NS,N220,82.8,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
